date,close
2014-08-15,2975.8304
2014-08-18,2977.8079
2014-08-19,2986.9043
2014-08-20,2967.808
2014-08-21,2963.8086
2014-08-22,2942.875
2014-08-25,2891.0225
2014-08-26,2839.9678
2014-08-27,2857.934
2014-08-28,2841.0282
2014-08-29,2826.02
2014-09-01,2847.9468
2014-09-02,2850.9328
2014-09-03,2849.9374
2014-09-04,2856.9811
2014-09-05,2858.9582
2014-09-09,2852.0279
2014-09-10,2856.0464
2014-09-11,2857.005
2014-09-12,2823.0826
2014-09-15,2868.0211
2014-09-16,2892.4761
2014-09-17,2912.7484
2014-09-18,2905.2415
2014-09-19,2926.5136
2014-09-22,2921.8797
2014-09-23,2860.7966
2014-09-24,2877.953
2014-09-25,2875.2827
2014-09-26,2874.7294
2014-09-29,2851.4414
2014-09-30,2878.6659
2014-10-08,2836.9521
2014-10-09,2845.706
2014-10-10,2754.9665
2014-10-13,2756.6299
2014-10-14,2786.5447
2014-10-15,2783.2928
2014-10-16,2770.1332
2014-10-17,2748.6539
2014-10-20,2712.1334
2014-10-21,2737.1653
2014-10-22,2741.5797
2014-10-23,2775.637
2014-10-24,2793.2981
2014-10-27,2774.14
2014-10-28,2772.7114
2014-10-29,2785.474
2014-10-30,2784.6323
2014-10-31,2773.334000000001
2014-11-03,2720.0136
2014-11-04,2711.2021
2014-11-05,2668.5766
2014-11-06,2633.4385
2014-11-07,2606.7807
2014-11-10,2633.3082
2014-11-11,2644.0535
2014-11-12,2684.3359
2014-11-13,2682.7424
2014-11-14,2666.4770000000008
2014-11-17,2646.7109
2014-11-18,2652.5341
2014-11-19,2661.4702
2014-11-20,2696.1117
2014-11-21,2692.0951
2014-11-24,2652.3242
2014-11-25,2663.4486
2014-11-26,2615.3393
2014-11-27,2584.2712
2014-11-28,2541.4471
2014-12-01,2482.1445
2014-12-02,2485.8138
2014-12-03,2500.992
2014-12-04,2464.7631
2014-12-05,2446.389
2014-12-08,2357.8088
2014-12-09,2326.9302
2014-12-10,2338.1773
2014-12-11,2317.3931
2014-12-12,2334.4614
2014-12-15,2293.1172
2014-12-16,2216.0264
2014-12-17,2151.5703
2014-12-18,2021.4632
2014-12-19,2074.4369
2014-12-22,2043.5731
2014-12-23,1999.1067
2014-12-24,2097.7817
2014-12-25,2085.0518
2014-12-26,2097.166
2014-12-29,2062.5386
2014-12-30,2055.0152
2014-12-31,2067.8643
2015-01-05,2023.2553
2015-01-06,2035.6869
2015-01-07,2036.2479
2015-01-08,2044.904
2015-01-09,2030.626
2015-01-12,1956.8275
2015-01-13,1919.9689
2015-01-14,1933.2896
2015-01-15,1975.0797
2015-01-16,1994.7484
2015-01-19,2020.7573
2015-01-20,2018.0996
2015-01-21,2062.0667
2015-01-22,2067.4962
2015-01-23,2071.0141
2015-01-26,2031.9124
2015-01-27,2045.2734
2015-01-28,2088.1487
2015-01-29,2079.0814
2015-01-30,2049.5362
2015-02-02,2088.5098
2015-02-03,2136.7
2015-02-04,2144.6284
2015-02-05,2140.6649
2015-02-06,2178.006
2015-02-09,2157.3328
2015-02-10,2143.7646
2015-02-11,2149.2864
2015-02-12,2171.9784
2015-02-13,2236.3142
2015-02-16,2265.3225
2015-02-17,2256.5347
2015-02-25,2286.4635
2015-02-26,2354.0085
2015-02-27,2360.6285
2015-03-02,2439.0109
2015-03-03,2409.0298
2015-03-04,2399.8634
2015-03-05,2442.2803
2015-03-06,2435.4210000000007
2015-03-09,2462.4943
2015-03-10,2418.3532
2015-03-11,2397.7518
2015-03-12,2474.5875
2015-03-13,2439.128
2015-03-16,2420.8114
2015-03-17,2379.0297
2015-03-18,2318.6013
2015-03-19,2320.0272
2015-03-20,2327.4028
2015-03-23,2339.2976
2015-03-24,2433.7722
2015-03-25,2406.154
2015-03-26,2437.2428
2015-03-27,2399.4396
2015-03-30,2376.2988
2015-03-31,2412.0377
2015-04-01,2417.8492
2015-04-02,2482.865
2015-04-03,2422.2407
2015-04-07,2448.0025
2015-04-08,2447.2943
2015-04-09,2416.3269
2015-04-10,2375.6452
2015-04-13,2415.9243
2015-04-14,2411.8114
2015-04-15,2421.9358
2015-04-16,2521.8542
2015-04-17,2541.7161
2015-04-20,2584.7207
2015-04-21,2557.5128
2015-04-22,2547.9943
2015-04-23,2535.7678
2015-04-24,2571.8488
2015-04-27,2590.9325
2015-04-28,2589.2971
2015-04-29,2550.0577
2015-04-30,2575.9907
2015-05-04,2565.2105
2015-05-05,2565.5918
2015-05-06,2589.1603
2015-05-07,2542.504
2015-05-08,2511.5619
2015-05-11,2516.0457
2015-05-12,2504.3671
2015-05-13,2507.8144
2015-05-14,2494.4247
2015-05-15,2503.7094
2015-05-18,2492.3615
2015-05-19,2441.6341
2015-05-20,2437.4344
2015-05-21,2463.4911
2015-05-22,2476.0497
2015-05-25,2473.432
2015-05-26,2466.3967
2015-05-27,2474.6649
2015-05-28,2463.3297
2015-05-29,2487.2186
2015-06-01,2485.708
2015-06-02,2478.7145
2015-06-03,2460.3483
2015-06-04,2456.4878
2015-06-05,2445.5192
2015-06-08,2460.9336
2015-06-09,2467.038
2015-06-10,2490.223
2015-06-11,2447.6066
2015-06-12,2450.3574
2015-06-15,2472.1326
2015-06-16,2515.9338
2015-06-17,2519.4602
2015-06-18,2494.1023
2015-06-19,2519.9538
2015-06-23,2491.334
2015-06-24,2514.415
2015-06-25,2507.0014
2015-06-26,2521.6063
2015-06-29,2496.4966
2015-06-30,2493.2023
2015-07-01,2488.326
2015-07-02,2497.4917
2015-07-03,2480.8103
2015-07-06,2444.3848
2015-07-07,2363.0238
2015-07-08,2240.2703
2015-07-09,2364.8555
2015-07-10,2395.7061
2015-07-13,2362.8379
2015-07-14,2318.6686
2015-07-15,2319.6735
2015-07-16,2297.9789
2015-07-17,2310.7824
2015-07-20,2324.8107
2015-07-21,2298.4668
2015-07-22,2314.5454
2015-07-23,2281.8564
2015-07-24,2244.2616
2015-07-27,2173.9791
2015-07-28,2164.5429
2015-07-29,2155.6454
2015-07-30,2157.729
2015-07-31,2153.7214
2015-08-03,2072.9294
2015-08-04,2044.3434
2015-08-05,2066.4256
2015-08-06,2007.1208
2015-08-07,2022.556
2015-08-10,2046.3726
2015-08-11,2077.1678
