date,N_DAYS_RET,close,atr14,RSI14,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,close_10,close_11,close_12,close_13,close_14,close_15,close_16,close_17,close_18,close_19,close_20,close_21,close_22,close_23,close_24,close_25,close_26,close_27,close_28,close_29,atr14_1,atr14_2,atr14_3,atr14_4,atr14_5,atr14_6,atr14_7,atr14_8,atr14_9,atr14_10,atr14_11,atr14_12,atr14_13,atr14_14,atr14_15,atr14_16,atr14_17,atr14_18,atr14_19,atr14_20,atr14_21,atr14_22,atr14_23,atr14_24,atr14_25,atr14_26,atr14_27,atr14_28,atr14_29,RSI14_1,RSI14_2,RSI14_3,RSI14_4,RSI14_5,RSI14_6,RSI14_7,RSI14_8,RSI14_9,RSI14_10,RSI14_11,RSI14_12,RSI14_13,RSI14_14,RSI14_15,RSI14_16,RSI14_17,RSI14_18,RSI14_19,RSI14_20,RSI14_21,RSI14_22,RSI14_23,RSI14_24,RSI14_25,RSI14_26,RSI14_27,RSI14_28,RSI14_29
2014-08-15,-0.002695852559339351,2975.8304,48.31629980126364,60.82287500567652,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,2911.9541,2880.0,2900.0,2904.0,2919.0,2937.0,2958.0,3001.0,3012.0,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,47.15811366636599,46.4222301022403,47.53163241779725,48.26483491147396,44.20828375081812,44.301228654727204,45.17055393586006,45.183673469387756,45.42857142857143,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943,54.33427105939215,48.16216686368855,52.26796064252833,53.10878009857248,56.260267491215146,60.2436998503831,65.24851937926381,77.48842592592592,81.10236220472441
2014-08-18,-0.004701209906790793,2977.8079,46.64455695831621,61.110920789438204,2975.8304,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,2911.9541,2880.0,2900.0,2904.0,2919.0,2937.0,2958.0,3001.0,48.31629980126364,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,47.15811366636599,46.4222301022403,47.53163241779725,48.26483491147396,44.20828375081812,44.301228654727204,45.17055393586006,45.183673469387756,60.82287500567652,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943,54.33427105939215,48.16216686368855,52.26796064252833,53.10878009857248,56.260267491215146,60.2436998503831,65.24851937926381,77.48842592592592
2014-08-19,-0.014740780278765575,2986.9043,45.241374318436485,62.47757182913776,2977.8079,2975.8304,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,2911.9541,2880.0,2900.0,2904.0,2919.0,2937.0,2958.0,46.64455695831621,48.31629980126364,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,47.15811366636599,46.4222301022403,47.53163241779725,48.26483491147396,44.20828375081812,44.301228654727204,45.17055393586006,61.110920789438204,60.82287500567652,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943,54.33427105939215,48.16216686368855,52.26796064252833,53.10878009857248,56.260267491215146,60.2436998503831,65.24851937926381
2014-08-20,-0.025872799048995088,2967.808,43.733626152833885,57.87907471766729,2986.9043,2977.8079,2975.8304,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,2911.9541,2880.0,2900.0,2904.0,2919.0,2937.0,45.241374318436485,46.64455695831621,48.31629980126364,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,47.15811366636599,46.4222301022403,47.53163241779725,48.26483491147396,44.20828375081812,44.301228654727204,62.47757182913776,61.110920789438204,60.82287500567652,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943,54.33427105939215,48.16216686368855,52.26796064252833,53.10878009857248,56.260267491215146,60.2436998503831
2014-08-21,-0.04178434464357783,2963.8086,42.307674284774336,56.93394086624004,2967.808,2986.9043,2977.8079,2975.8304,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,2911.9541,2880.0,2900.0,2904.0,2919.0,43.733626152833885,45.241374318436485,46.64455695831621,48.31629980126364,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,47.15811366636599,46.4222301022403,47.53163241779725,48.26483491147396,44.20828375081812,57.87907471766729,62.47757182913776,61.110920789438204,60.82287500567652,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943,54.33427105939215,48.16216686368855,52.26796064252833,53.10878009857248,56.260267491215146
2014-08-22,-0.02886327146073131,2942.875,41.40624040729047,52.13510644021011,2963.8086,2967.808,2986.9043,2977.8079,2975.8304,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,2911.9541,2880.0,2900.0,2904.0,42.307674284774336,43.733626152833885,45.241374318436485,46.64455695831621,48.31629980126364,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,47.15811366636599,46.4222301022403,47.53163241779725,48.26483491147396,56.93394086624004,57.87907471766729,62.47757182913776,61.110920789438204,60.82287500567652,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943,54.33427105939215,48.16216686368855,52.26796064252833,53.10878009857248
2014-08-25,-0.017292947391450597,2891.0225,42.347801806769716,42.56480476791145,2942.875,2963.8086,2967.808,2986.9043,2977.8079,2975.8304,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,2911.9541,2880.0,2900.0,41.40624040729047,42.307674284774336,43.733626152833885,45.241374318436485,46.64455695831621,48.31629980126364,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,47.15811366636599,46.4222301022403,47.53163241779725,52.13510644021011,56.93394086624004,57.87907471766729,62.47757182913776,61.110920789438204,60.82287500567652,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943,54.33427105939215,48.16216686368855,52.26796064252833
2014-08-26,-0.004911252867021876,2839.9678,43.53808739200047,35.62963030088541,2891.0225,2942.875,2963.8086,2967.808,2986.9043,2977.8079,2975.8304,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,2911.9541,2880.0,42.347801806769716,41.40624040729047,42.307674284774336,43.733626152833885,45.241374318436485,46.64455695831621,48.31629980126364,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,47.15811366636599,46.4222301022403,42.56480476791145,52.13510644021011,56.93394086624004,57.87907471766729,62.47757182913776,61.110920789438204,60.82287500567652,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943,54.33427105939215,48.16216686368855
2014-08-27,-0.0034945523584519744,2857.934,42.8540740068576,39.373124112508954,2839.9678,2891.0225,2942.875,2963.8086,2967.808,2986.9043,2977.8079,2975.8304,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,2911.9541,43.53808739200047,42.347801806769716,41.40624040729047,42.307674284774336,43.733626152833885,45.241374318436485,46.64455695831621,48.31629980126364,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,47.15811366636599,35.62963030088541,42.56480476791145,52.13510644021011,56.93394086624004,57.87907471766729,62.47757182913776,61.110920789438204,60.82287500567652,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943,54.33427105939215
2014-08-28,0.0034862730331222114,2841.0282,42.425297292082064,37.18189963506426,2857.934,2839.9678,2891.0225,2942.875,2963.8086,2967.808,2986.9043,2977.8079,2975.8304,2994.8734,2989.8825,2916.9636,2924.9308,2934.9456,2883.0,2888.9881,2905.0,2900.935,2882.0215,2917.0,2931.9694,2928.9637,2939.7682,2891.9801,2876.0163,2873.0286,2879.9956,2863.0516,2866.0151,42.8540740068576,43.53808739200047,42.347801806769716,41.40624040729047,42.307674284774336,43.733626152833885,45.241374318436485,46.64455695831621,48.31629980126364,48.979730555207006,50.532671367146015,47.131599933849564,48.013076851838,48.65273660967171,48.24652404118492,43.93226435204529,41.64497699451031,43.3949521479342,44.36563308239067,45.011351011805324,46.333224166559596,47.068572179371856,48.92605465470815,46.49556655122418,48.23335628593372,48.4961760002363,47.4769203079468,48.14224494701965,49.70024840448271,39.373124112508954,35.62963030088541,42.56480476791145,52.13510644021011,56.93394086624004,57.87907471766729,62.47757182913776,61.110920789438204,60.82287500567652,65.13703279576085,64.52466204414135,53.42601473821876,55.177416568622775,57.3726978267274,47.26795617955401,48.498570307928205,51.85035363839915,51.05289716255502,47.28055210148639,54.49275200627246,58.009169164219465,57.4978058660761,59.9340632454078,51.49277495717859,48.10102320421433,47.46260957455284,48.76141407959752,45.38637648694407,45.87715125549943
